NAME,B19083_001E,state,county
"Cumberland County, Illinois",0.4241,17,35
"DeKalb County, Illinois",0.4442,17,37
"De Witt County, Illinois",0.4212,17,39
"Douglas County, Illinois",0.4055,17,41
"DuPage County, Illinois",0.4569,17,43
"Edgar County, Illinois",0.4242,17,45
"Edwards County, Illinois",0.4214,17,47
"Effingham County, Illinois",0.4288,17,49
"Fayette County, Illinois",0.4637,17,51
"Ford County, Illinois",0.4363,17,53
"Franklin County, Illinois",0.4516,17,55
"Fulton County, Illinois",0.4458,17,57
"Gallatin County, Illinois",0.5498,17,59
"Greene County, Illinois",0.4385,17,61
"Grundy County, Illinois",0.4098,17,63
"Hamilton County, Illinois",0.4571,17,65
"Hancock County, Illinois",0.4553,17,67
"Hardin County, Illinois",0.4207,17,69
"Henderson County, Illinois",0.3676,17,71
"Henry County, Illinois",0.4262,17,73
"Iroquois County, Illinois",0.4443,17,75
"Jackson County, Illinois",0.5111,17,77
"Jasper County, Illinois",0.4055,17,79
"Jefferson County, Illinois",0.4317,17,81
"Jersey County, Illinois",0.4351,17,83
"Jo Daviess County, Illinois",0.4175,17,85
"Johnson County, Illinois",0.4199,17,87
"Kane County, Illinois",0.4322,17,89
"Kankakee County, Illinois",0.4396,17,91
"Kendall County, Illinois",0.3563,17,93
"Knox County, Illinois",0.4517,17,95
"Lake County, Illinois",0.4775,17,97
"LaSalle County, Illinois",0.4327,17,99
"Lawrence County, Illinois",0.4374,17,101
"Lee County, Illinois",0.4354,17,103
"Livingston County, Illinois",0.4152,17,105
"Logan County, Illinois",0.4389,17,107
"McDonough County, Illinois",0.4823,17,109
"McHenry County, Illinois",0.4133,17,111
"McLean County, Illinois",0.4769,17,113
"Macon County, Illinois",0.4652,17,115
"Macoupin County, Illinois",0.4279,17,117
"Madison County, Illinois",0.4448,17,119
"Marion County, Illinois",0.4392,17,121
