State FIPS,County FIPS,County Name,State Name,Direction of Change
12,085,"Martin County, FL",Florida,Increase
12,113,"Santa Rosa County, FL",Florida,Decrease
12,119,"Sumter County, FL",Florida,Decrease
12,127,"Volusia County, FL",Florida,Decrease
13,059,"Clarke County, GA",Georgia,Decrease
13,063,"Clayton County, GA",Georgia,Increase
13,133,"Greene County, GA",Georgia,Decrease
13,135,"Gwinnett County, GA",Georgia,Increase
13,151,"Henry County, GA",Georgia,Increase
13,155,"Irwin County, GA",Georgia,Decrease
13,157,"Jackson County, GA",Georgia,Decrease
13,183,"Long County, GA",Georgia,Decrease
13,199,"Meriwether County, GA",Georgia,Decrease
13,277,"Tift County, GA",Georgia,Decrease
13,311,"White County, GA",Georgia,Decrease
15,001,"Hawaii County, HI",Hawaii,Increase
15,003,"Honolulu County, HI",Hawaii,Increase
15,009,"Maui County, HI",Hawaii,Increase
16,005,"Bannock County, ID",Idaho,Decrease
16,017,"Bonner County, ID",Idaho,Decrease
16,021,"Boundary County, ID",Idaho,Decrease
16,027,"Canyon County, ID",Idaho,Decrease
16,031,"Cassia County, ID",Idaho,Decrease
16,041,"Franklin County, ID",Idaho,Decrease
16,051,"Jefferson County, ID",Idaho,Decrease
16,067,"Minidoka County, ID",Idaho,Decrease
16,073,"Owyhee County, ID",Idaho,Decrease
16,075,"Payette County, ID",Idaho,Decrease
17,031,"Cook County, IL",Illinois,Decrease
17,043,"DuPage County, IL",Illinois,Increase
17,077,"Jackson County, IL",Illinois,Decrease
17,093,"Kendall County, IL",Illinois,Increase
17,097,"Lake County, IL",Illinois,Increase
17,107,"Logan County, IL",Illinois,Increase
17,143,"Peoria County, IL",Illinois,Increase
17,151,"Pope County, IL",Illinois,Decrease
17,181,"Union County, IL",Illinois,Decrease
17,197,"Will County, IL",Illinois,Increase
18,003,"Allen County, IN",Indiana,Increase
18,011,"Boone County, IN",Indiana,Decrease
18,027,"Daviess County, IN",Indiana,Decrease
18,033,"De Kalb County, IN",Indiana,Increase
18,057,"Hamilton County, IN",Indiana,Increase
18,105,"Monroe County, IN",Indiana,Decrease
18,167,"Vigo County, IN",Indiana,Increase
18,173,"Warrick County, IN",Indiana,Increase
19,013,"Black Hawk County, IA",Iowa,Decrease
19,015,"Boone County, IA",Iowa,Decrease
19,129,"Mills County, IA",Iowa,Decrease
19,149,"Plymouth County, IA",Iowa,Increase
19,153,"Polk County, IA",Iowa,Increase
19,179,"Wapello County, IA",Iowa,Decrease
19,191,"Winneshiek County, IA",Iowa,Decrease
20,051,"Ellis County, KS",Kansas,Increase
20,055,"Finney County, KS",Kansas,Decrease
20,091,"Johnson County, KS",Kansas,Increase
20,111,"Lyon County, KS",Kansas,Decrease
21,011,"Bath County, KY",Kentucky,Decrease
21,049,"Clark County, KY",Kentucky,Decrease
21,071,"Floyd County, KY",Kentucky,Decrease
21,093,"Hardin County, KY",Kentucky,Increase
21,099,"Hart County, KY",Kentucky,Decrease
21,109,"Jackson County, KY",Kentucky,Decrease
21,111,"Jefferson County, KY",Kentucky,Increase
21,113,"Jessamine County, KY",Kentucky,Decrease
21,117,"Kenton County, KY",Kentucky,Decrease
21,135,"Lewis County, KY",Kentucky,Decrease
21,151,"Madison County, KY",Kentucky,Decrease
21,159,"Martin County, KY",Kentucky,Increase
21,173,"Montgomery County, KY",Kentucky,Decrease
21,189,"Owsley County, KY",Kentucky,Decrease
21,199,"Pulaski County, KY",Kentucky,Decrease
21,225,"Union County, KY",Kentucky,Decrease
21,227,"Warren County, KY",Kentucky,Decrease
21,237,"Wolfe County, KY",Kentucky,Decrease
22,051,"Jefferson Parish, LA",Louisiana,Increase
22,063,"Livingston Parish, LA",Louisiana,Increase
22,097,"St. Landry Parish, LA",Louisiana,Decrease
23,003,"Aroostook County, ME",Maine,Decrease
23,005,"Cumberland County, ME",Maine,Decrease
23,025,"Somerset County, ME",Maine,Decrease
24,001,"Allegany County, MD",Maryland,Increase
24,005,"Baltimore County, MD",Maryland,Increase
24,013,"Carroll County, MD",Maryland,Increase
24,017,"Charles County, MD",Maryland,Increase
24,025,"Harford County, MD",Maryland,Increase
24,031,"Montgomery County, MD",Maryland,Increase
24,033,"Prince George's County, MD",Maryland,Increase
25,001,"Barnstable County, MA",Massachusetts,Increase
25,005,"Bristol County, MA",Massachusetts,Increase
25,021,"Norfolk County, MA",Massachusetts,Increase
25,025,"Suffolk County, MA",Massachusetts,Decrease
25,027,"Worcester County, MA",Massachusetts,Increase
26,077,"Kalamazoo County, MI",Michigan,Decrease
26,081,"Kent County, MI",Michigan,Decrease
26,099,"Macomb County, MI",Michigan,Increase
26,107,"Mecosta County, MI",Michigan,Decrease
26,115,"Monroe County, MI",Michigan,Increase
